Opgørelsesår,Kommune,Fødselsårgang,Køn,Antal børn,Gennemsnitlig højde i cm,Gennemsnitlig vægt i gram,Procentdel undervægt,Procentdel normalvægt,Procentdel moderat overvægt,Procentdel svær overvægt,urban_rural
2015,Aarhus,1999.0,Kvinde,1478,165.99255751014886,58265.223274695534,1.3531799729364005,83.4235453315291,12.381596752368065,2.841677943166441,Urban
2016,Aarhus,2000.0,Kvinde,1379,166.0514865844815,58742.27701232777,1.305293691080493,81.29079042784626,14.865844815083392,2.5380710659898478,Urban
2017,Aarhus,2001.0,Kvinde,1446,166.06639004149378,59619.43291839557,1.6597510373443984,78.63070539419087,15.560165975103734,4.149377593360995,Urban
2018,Aarhus,2002.0,Kvinde,1389,165.74874010079193,58878.68970482361,1.3678905687544995,78.68970482361412,16.48668106551476,3.455723542116631,Urban
2019,Aarhus,2003.0,Kvinde,1433,166.0,58706.97836706211,2.1632937892533146,80.04187020237265,14.026517794836007,3.768318213538032,Urban
2020,Aarhus,2004.0,Kvinde,1477,165.9228165199729,58510.29113067028,1.9634394041976981,79.82396750169262,15.098171970209883,3.1144211238997968,Urban
2021,Aarhus,2005.0,Kvinde,1451,166.052377670572,58451.3439007581,2.067539627842867,80.49620951068229,13.094417643004824,4.34183321847002,Urban
2022,Aarhus,2006.0,Kvinde,1355,166.50479704797047,58070.9963099631,2.5830258302583027,82.50922509225093,12.177121771217712,2.730627306273063,Urban
2023,Aarhus,2007.0,Kvinde,1285,166.78832684824903,57888.09338521401,2.178988326848249,85.75875486381322,9.571984435797667,2.490272373540856,Urban
2024,Aarhus,2008.0,Kvinde,1234,166.5575364667747,57752.025931928685,2.2690437601296596,84.60291734197732,10.615883306320907,2.512155591572123,Urban
2025,Aarhus,2009.0,Kvinde,1376,165.77325581395348,57155.085755813954,3.0523255813953485,83.06686046511628,11.773255813953488,2.1075581395348837,Urban
2014,Aarhus,1998.0,Mand,1239,175.0677966101695,64057.223567393055,1.6142050040355123,82.08232445520581,12.913640032284098,3.389830508474576,Urban
2015,Aarhus,1999.0,Mand,1487,175.5971755211836,64839.81170141224,2.151983860121049,79.21990585070611,14.660390047074648,3.967720242098184,Urban
2016,Aarhus,2000.0,Mand,1501,175.80213191205863,65091.00599600266,1.9986675549633577,80.01332445036641,13.124583610926049,4.863424383744171,Urban
2017,Aarhus,2001.0,Mand,1480,175.56554054054055,65298.71621621621,2.364864864864865,77.83783783783784,14.864864864864865,4.9324324324324325,Urban
2018,Aarhus,2002.0,Mand,1516,175.71306068601584,65015.23746701847,2.9023746701846966,78.49604221635884,14.643799472295516,3.95778364116095,Urban
2019,Aarhus,2003.0,Mand,1480,174.8337837837838,63216.62162162162,2.0945945945945947,81.89189189189189,13.243243243243244,2.7702702702702706,Urban
2020,Aarhus,2004.0,Mand,1498,175.10881174899868,63672.096128170895,2.6034712950600802,80.24032042723631,12.817089452603472,4.339118825100133,Urban
2021,Aarhus,2005.0,Mand,1515,175.4052805280528,63921.617161716174,2.838283828382838,79.27392739273927,13.333333333333334,4.554455445544554,Urban
2022,Aarhus,2006.0,Mand,1491,176.66197183098592,65127.09590878605,2.5486250838363516,80.01341381623071,13.615023474178404,3.8229376257545273,Urban
2023,Aarhus,2007.0,Mand,1415,177.06360424028267,65318.51590106007,2.3321554770318023,81.2720848056537,12.508833922261484,3.8869257950530036,Urban
2024,Aarhus,2008.0,Mand,1475,176.85016949152543,65012.40677966102,2.5084745762711864,81.35593220338984,11.661016949152541,4.474576271186441,Urban
2025,Aarhus,2009.0,Mand,1571,174.72374283895607,62826.28644175684,2.0369191597708465,82.36791852323361,12.221514958625079,3.373647358370465,Urban
2014,Albertslund,1998.0,Begge,263,170.80608365019012,64106.083650190114,0.38022813688212925,77.56653992395437,16.730038022813687,5.323193916349809,Rural
